           Open      Close       High        Low      Volume         VWAP           Timestamp  Transactions  OTC  hour  minute  dayofweek  Close_lag_1  Volume_lag_1   VWAP_lag_1  Close_lag_2  Volume_lag_2   VWAP_lag_2  Close_lag_3  Volume_lag_3   VWAP_lag_3  Close_lag_4  Volume_lag_4   VWAP_lag_4  Close_lag_5  Volume_lag_5   VWAP_lag_5
0     111738.70  111685.92  111820.37  111670.00   34.951020  111745.3811 2025-05-22 00:00:00           949  NaN     0       0          3          NaN           NaN          NaN          NaN           NaN          NaN          NaN           NaN          NaN          NaN           NaN          NaN          NaN           NaN          NaN
1     111689.76  111772.15  111800.00  111617.58   10.640634  111681.9391 2025-05-22 00:01:00           843  NaN     0       1          3    111685.92     34.951020  111745.3811          NaN           NaN          NaN          NaN           NaN          NaN          NaN           NaN          NaN          NaN           NaN          NaN
2     111759.53  111575.54  111759.53  111532.80   15.153093  111598.2455 2025-05-22 00:02:00           918  NaN     0       2          3    111772.15     10.640634  111681.9391    111685.92     34.951020  111745.3811          NaN           NaN          NaN          NaN           NaN          NaN          NaN           NaN          NaN
3     111575.54  111574.41  111585.08  111508.02    8.329446  111552.7407 2025-05-22 00:03:00           657  NaN     0       3          3    111575.54     15.153093  111598.2455    111772.15     10.640634  111681.9391    111685.92     34.951020  111745.3811          NaN           NaN          NaN          NaN           NaN          NaN
4     111567.71  111528.72  111624.10  111500.00    9.922252  111556.5807 2025-05-22 00:04:00           668  NaN     0       4          3    111574.41      8.329446  111552.7407    111575.54     15.153093  111598.2455    111772.15     10.640634  111681.9391    111685.92     34.951020  111745.3811          NaN           NaN          NaN
5     111527.82  111499.81  111609.84  111426.50   20.913651  111492.3273 2025-05-22 00:05:00           963  NaN     0       5          3    111528.72      9.922252  111556.5807    111574.41      8.329446  111552.7407    111575.54     15.153093  111598.2455    111772.15     10.640634  111681.9391    111685.92     34.951020  111745.3811
6     111499.81  111544.11  111610.08  111469.62   10.278343  111532.4043 2025-05-22 00:06:00           779  NaN     0       6          3    111499.81     20.913651  111492.3273    111528.72      9.922252  111556.5807    111574.41      8.329446  111552.7407    111575.54     15.153093  111598.2455    111772.15     10.640634  111681.9391
7     111549.94  111490.00  111613.64  111430.00   49.661157  111499.8739 2025-05-22 00:07:00           625  NaN     0       7          3    111544.11     10.278343  111532.4043    111499.81     20.913651  111492.3273    111528.72      9.922252  111556.5807    111574.41      8.329446  111552.7407    111575.54     15.153093  111598.2455
8     111490.01  111490.59  111536.53  111399.01   10.864125  111452.9868 2025-05-22 00:08:00           710  NaN     0       8          3    111490.00     49.661157  111499.8739    111544.11     10.278343  111532.4043    111499.81     20.913651  111492.3273    111528.72      9.922252  111556.5807    111574.41      8.329446  111552.7407
9     111420.00  111533.54  111546.30  111420.00    4.985404  111504.3556 2025-05-22 00:09:00           639  NaN     0       9          3    111490.59     10.864125  111452.9868    111490.00     49.661157  111499.8739    111544.11     10.278343  111532.4043    111499.81     20.913651  111492.3273    111528.72      9.922252  111556.5807
10    111499.90  111501.34  111596.09  111450.00    9.700484  111540.2833 2025-05-22 00:10:00           650  NaN     0      10          3    111533.54      4.985404  111504.3556    111490.59     10.864125  111452.9868    111490.00     49.661157  111499.8739    111544.11     10.278343  111532.4043    111499.81     20.913651  111492.3273
11    111492.53  111448.87  111509.79  111350.00    8.014012  111424.5367 2025-05-22 00:11:00           665  NaN     0      11          3    111501.34      9.700484  111540.2833    111533.54      4.985404  111504.3556    111490.59     10.864125  111452.9868    111490.00     49.661157  111499.8739    111544.11     10.278343  111532.4043
12    111410.00  111471.95  111481.19  111342.95   17.460209  111395.2558 2025-05-22 00:12:00           656  NaN     0      12          3    111448.87      8.014012  111424.5367    111501.34      9.700484  111540.2833    111533.54      4.985404  111504.3556    111490.59     10.864125  111452.9868    111490.00     49.661157  111499.8739
